,Month,Year,Day,Predicted
501,11.0,1995.0,9,1.3403157
502,11.0,1995.0,10,1.3408514
503,11.0,1995.0,14,1.3417014
504,11.0,1995.0,15,1.342064
505,11.0,1995.0,16,1.3423718
506,11.0,1995.0,17,1.3435818
507,11.0,1995.0,21,1.3424207
508,11.0,1995.0,22,1.3432726
509,11.0,1995.0,23,1.3442435
510,11.0,1995.0,28,1.3410308
511,11.0,1995.0,29,1.3378911
512,11.0,1995.0,30,1.3353446
513,12.0,1995.0,1,1.3334571
514,12.0,1995.0,5,1.3341329
515,12.0,1995.0,6,1.3327838
516,12.0,1995.0,7,1.3326751
517,12.0,1995.0,8,1.3335538
518,12.0,1995.0,12,1.3343009
519,12.0,1995.0,13,1.3350046
520,12.0,1995.0,14,1.3355559
521,12.0,1995.0,15,1.3356093
522,12.0,1995.0,19,1.3351644
523,12.0,1995.0,20,1.334949
524,12.0,1995.0,21,1.3346479
525,12.0,1995.0,22,1.3355168
526,12.0,1995.0,27,1.3364818
527,12.0,1995.0,28,1.3341035
528,12.0,1995.0,29,1.3323015
529,1.0,1996.0,3,1.3333517
530,1.0,1996.0,4,1.3329399
531,1.0,1996.0,5,1.3337072
532,1.0,1996.0,9,1.3339806
533,1.0,1996.0,10,1.3343716
534,1.0,1996.0,11,1.334418
535,1.0,1996.0,12,1.33468
536,1.0,1996.0,17,1.335434
537,1.0,1996.0,18,1.3340116
538,1.0,1996.0,19,1.3343371
539,1.0,1996.0,23,1.3346679
540,1.0,1996.0,24,1.3289868
541,1.0,1996.0,25,1.3235015
542,1.0,1996.0,26,1.3187587
543,1.0,1996.0,30,1.3149396
544,1.0,1996.0,31,1.313763
545,2.0,1996.0,1,1.3108155
546,2.0,1996.0,2,1.3094438
547,2.0,1996.0,6,1.309048
548,2.0,1996.0,7,1.3087343
549,2.0,1996.0,8,1.3085673
550,2.0,1996.0,9,1.3083248
551,2.0,1996.0,13,1.3079315
552,2.0,1996.0,14,1.3071632
553,2.0,1996.0,15,1.3067201
554,2.0,1996.0,16,1.3063838
555,2.0,1996.0,21,1.3070452
556,2.0,1996.0,22,1.3080363
557,2.0,1996.0,23,1.3058836
558,2.0,1996.0,27,1.3043988
559,2.0,1996.0,28,1.3055543
560,2.0,1996.0,29,1.3054034
561,3.0,1996.0,1,1.306268
562,3.0,1996.0,5,1.3068581
563,3.0,1996.0,6,1.307691
564,3.0,1996.0,7,1.3079519
565,3.0,1996.0,8,1.3082488
566,3.0,1996.0,12,1.3091683
567,3.0,1996.0,13,1.3078728
568,3.0,1996.0,14,1.3084638
569,3.0,1996.0,15,1.3091904
570,3.0,1996.0,19,1.3038478
571,3.0,1996.0,20,1.2988336
572,3.0,1996.0,21,1.2940263
573,3.0,1996.0,22,1.2908304
574,3.0,1996.0,26,1.2899343
575,3.0,1996.0,27,1.287261
576,3.0,1996.0,28,1.2862116
577,3.0,1996.0,29,1.2862362
578,4.0,1996.0,2,1.2860816
579,4.0,1996.0,3,1.2859311
580,4.0,1996.0,4,1.2856973
581,4.0,1996.0,5,1.2853382
582,4.0,1996.0,9,1.2844625
583,4.0,1996.0,10,1.2839377
584,4.0,1996.0,11,1.2836183
585,4.0,1996.0,12,1.2841405
586,4.0,1996.0,16,1.2847776
587,4.0,1996.0,17,1.2825403
588,4.0,1996.0,18,1.2808044
589,4.0,1996.0,19,1.2814641
590,4.0,1996.0,23,1.281191
591,4.0,1996.0,24,1.28196
592,4.0,1996.0,25,1.282219
593,4.0,1996.0,26,1.2825984
594,4.0,1996.0,30,1.2826166
595,5.0,1996.0,1,1.2827858
596,5.0,1996.0,2,1.2837248
597,5.0,1996.0,3,1.2824756
598,5.0,1996.0,7,1.282989
599,5.0,1996.0,8,1.283591
600,5.0,1996.0,9,1.2806207
601,5.0,1996.0,10,1.2775778
602,5.0,1996.0,14,1.2749859
603,5.0,1996.0,15,1.2732518
604,5.0,1996.0,16,1.2734948
605,5.0,1996.0,17,1.272136
606,5.0,1996.0,21,1.2720042
607,5.0,1996.0,22,1.2729771
608,5.0,1996.0,23,1.2736045
609,5.0,1996.0,24,1.2745484
610,5.0,1996.0,29,1.2749035
611,5.0,1996.0,30,1.2752011
612,5.0,1996.0,31,1.275283
613,6.0,1996.0,4,1.2757477
614,6.0,1996.0,5,1.2763356
615,6.0,1996.0,6,1.2774832
616,6.0,1996.0,7,1.2788007
617,6.0,1996.0,11,1.2773563
618,6.0,1996.0,12,1.2763199
619,6.0,1996.0,13,1.2780558
620,6.0,1996.0,14,1.2783014
621,6.0,1996.0,18,1.2797132
622,6.0,1996.0,19,1.2805722
623,6.0,1996.0,20,1.2816163
624,6.0,1996.0,21,1.2823358
625,6.0,1996.0,25,1.283007
626,6.0,1996.0,26,1.2842007
627,6.0,1996.0,27,1.2832284
628,6.0,1996.0,28,1.2838887
629,7.0,1996.0,2,1.2847409
630,7.0,1996.0,3,1.2814875
631,7.0,1996.0,4,1.2783402
632,7.0,1996.0,9,1.2752308
633,7.0,1996.0,10,1.2731405
634,7.0,1996.0,11,1.2731662
635,7.0,1996.0,12,1.2714548
636,7.0,1996.0,16,1.2711831
637,7.0,1996.0,17,1.271663
638,7.0,1996.0,18,1.2717986
639,7.0,1996.0,19,1.272284
640,7.0,1996.0,23,1.2724811
641,7.0,1996.0,24,1.2726679
642,7.0,1996.0,25,1.2722044
643,7.0,1996.0,26,1.2718737
644,7.0,1996.0,30,1.2717102
645,7.0,1996.0,31,1.272107
646,8.0,1996.0,1,1.2728647
647,8.0,1996.0,2,1.2706597
648,8.0,1996.0,6,1.2689345
649,8.0,1996.0,7,1.2697488
650,8.0,1996.0,8,1.2694474
651,8.0,1996.0,9,1.2701912
652,8.0,1996.0,13,1.2705297
653,8.0,1996.0,14,1.2709748
654,8.0,1996.0,15,1.271068
655,8.0,1996.0,16,1.2710655
656,8.0,1996.0,20,1.2717888
657,8.0,1996.0,21,1.270351
658,8.0,1996.0,22,1.2703115
659,8.0,1996.0,23,1.2706685
660,8.0,1996.0,27,1.2686315
661,8.0,1996.0,28,1.2666234
662,8.0,1996.0,29,1.2648053
663,8.0,1996.0,30,1.2635345
664,9.0,1996.0,4,1.2645695
665,9.0,1996.0,5,1.2637038
666,9.0,1996.0,6,1.2640941
667,9.0,1996.0,10,1.2649395
668,9.0,1996.0,11,1.2657566
669,9.0,1996.0,12,1.2666929
670,9.0,1996.0,13,1.2673358
671,9.0,1996.0,17,1.2676193
672,9.0,1996.0,18,1.267496
673,9.0,1996.0,19,1.2676654
674,9.0,1996.0,20,1.2677962
675,9.0,1996.0,24,1.2687209
676,9.0,1996.0,25,1.2698601
677,9.0,1996.0,26,1.2678794
678,9.0,1996.0,27,1.2663792
679,10.0,1996.0,1,1.2672671
680,10.0,1996.0,2,1.2670175
681,10.0,1996.0,3,1.2676316
682,10.0,1996.0,4,1.2681715
683,10.0,1996.0,8,1.2687017
684,10.0,1996.0,9,1.268893
685,10.0,1996.0,10,1.268878
686,10.0,1996.0,11,1.2694983
687,10.0,1996.0,16,1.267843
688,10.0,1996.0,17,1.2678593
689,10.0,1996.0,18,1.2682067
690,10.0,1996.0,22,1.2690063
691,10.0,1996.0,23,1.2694386
692,10.0,1996.0,24,1.2697958
693,10.0,1996.0,25,1.2707528
694,10.0,1996.0,29,1.2737837
695,10.0,1996.0,30,1.2748123
696,10.0,1996.0,31,1.2767766
697,11.0,1996.0,1,1.2797682
698,11.0,1996.0,5,1.282208
699,11.0,1996.0,6,1.2846569
700,11.0,1996.0,7,1.2863746
701,11.0,1996.0,8,1.2877796
702,11.0,1996.0,13,1.288799
703,11.0,1996.0,14,1.2899879
704,11.0,1996.0,15,1.2909874
705,11.0,1996.0,19,1.2925483
706,11.0,1996.0,20,1.2942765
707,11.0,1996.0,21,1.2927537
708,11.0,1996.0,22,1.2915597
709,11.0,1996.0,26,1.2930508
710,11.0,1996.0,27,1.2934878
711,11.0,1996.0,28,1.2946341
712,12.0,1996.0,3,1.2950559
713,12.0,1996.0,4,1.2958424
714,12.0,1996.0,5,1.2961258
715,12.0,1996.0,6,1.2963163
716,12.0,1996.0,10,1.2972996
717,12.0,1996.0,11,1.2961714
718,12.0,1996.0,12,1.2969297
719,12.0,1996.0,13,1.2977145
720,12.0,1996.0,17,1.2897943
721,12.0,1996.0,18,1.2823527
722,12.0,1996.0,19,1.2756497
723,12.0,1996.0,20,1.2701197
724,12.0,1996.0,24,1.2671756
725,12.0,1996.0,25,1.2627227
726,12.0,1996.0,27,1.2599804
727,12.0,1996.0,31,1.2580733
728,1.0,1997.0,1,1.2562447
729,1.0,1997.0,3,1.254699
730,1.0,1997.0,7,1.253033
731,1.0,1997.0,8,1.251365
732,1.0,1997.0,9,1.2494061
733,1.0,1997.0,10,1.2474129
734,1.0,1997.0,14,1.2455989
735,1.0,1997.0,15,1.2447283
736,1.0,1997.0,16,1.2437589
737,1.0,1997.0,17,1.239841
738,1.0,1997.0,22,1.2362435
