,Month,Year,Day,Predicted
229,6.0,1994.0,30,1.2238028
230,7.0,1994.0,1,1.22313
231,7.0,1994.0,6,1.2231587
232,7.0,1994.0,7,1.2234068
233,7.0,1994.0,8,1.2248343
234,7.0,1994.0,12,1.226808
235,7.0,1994.0,13,1.2285908
236,7.0,1994.0,14,1.2294995
237,7.0,1994.0,15,1.2306857
238,7.0,1994.0,19,1.2311583
239,7.0,1994.0,20,1.2322432
240,7.0,1994.0,21,1.2354172
241,7.0,1994.0,22,1.23989
242,7.0,1994.0,26,1.2432837
243,7.0,1994.0,27,1.2469647
244,7.0,1994.0,28,1.2498797
245,7.0,1994.0,29,1.2527946
246,8.0,1994.0,2,1.2554284
247,8.0,1994.0,3,1.257949
248,8.0,1994.0,4,1.259966
249,8.0,1994.0,5,1.2620559
250,8.0,1994.0,9,1.2640316
251,8.0,1994.0,10,1.2651346
252,8.0,1994.0,11,1.2650456
253,8.0,1994.0,12,1.265418
254,8.0,1994.0,16,1.2662784
255,8.0,1994.0,17,1.2671382
256,8.0,1994.0,18,1.266935
257,8.0,1994.0,19,1.2645639
258,8.0,1994.0,23,1.2649208
259,8.0,1994.0,24,1.2652149
260,8.0,1994.0,25,1.2645358
261,8.0,1994.0,26,1.264365
262,8.0,1994.0,30,1.2646354
263,8.0,1994.0,31,1.2659808
264,9.0,1994.0,1,1.2678488
265,9.0,1994.0,2,1.2694964
266,9.0,1994.0,7,1.2703907
267,9.0,1994.0,8,1.2715374
268,9.0,1994.0,9,1.2716504
269,9.0,1994.0,13,1.2727326
270,9.0,1994.0,14,1.2723281
271,9.0,1994.0,15,1.2737001
272,9.0,1994.0,16,1.2746453
273,9.0,1994.0,20,1.2754205
274,9.0,1994.0,21,1.2761493
275,9.0,1994.0,22,1.2770001
276,9.0,1994.0,23,1.2775471
277,9.0,1994.0,27,1.2781551
278,9.0,1994.0,28,1.2782845
279,9.0,1994.0,29,1.2790275
280,9.0,1994.0,30,1.2796857
