Date,Open,High,Low,Close
19940715,1.2497,1.2497,1.2431,1.2431
19940719,1.25,1.25,1.2364,1.2364
19940720,1.2364,1.2386,1.2364,1.2386
19940721,1.2386,1.2386,1.2276,1.2276
19940722,1.2276,1.2276,1.2166,1.2166
19940726,1.2192,1.2218,1.2192,1.2218
19940727,1.2218,1.2291,1.2218,1.2291
19940728,1.2291,1.2291,1.2235,1.2235
19940729,1.2235,1.2235,1.2228,1.2228
19940802,1.229,1.229,1.2266,1.2266
19940803,1.2266,1.2272,1.2266,1.2272
19940804,1.2272,1.2272,1.2255,1.2255
19940805,1.2255,1.2278,1.2255,1.2278
19940809,1.2277,1.2277,1.2261,1.2261
19940810,1.2261,1.2276,1.2261,1.2276
19940811,1.2276,1.2276,1.227,1.227
19940812,1.227,1.2356,1.227,1.2356
19940816,1.2407,1.2407,1.2404,1.2404
19940817,1.2404,1.2404,1.2388,1.2388
19940818,1.2388,1.2439,1.2388,1.2439
19940819,1.2439,1.2511,1.2439,1.2511
19940823,1.259,1.259,1.2536,1.2536
19940824,1.2536,1.2536,1.2495,1.2495
19940825,1.2495,1.2495,1.249,1.249
19940826,1.249,1.249,1.2332,1.2332
19940830,1.2272,1.2293,1.2272,1.2293
19940831,1.2293,1.2293,1.2293,1.2293
19940901,1.2293,1.2322,1.2293,1.2322
19940902,1.2322,1.2442,1.2322,1.2442
19940907,1.2508,1.2508,1.2469,1.2469
19940908,1.2469,1.2469,1.2414,1.2414
19940909,1.2414,1.2553,1.2414,1.2553
19940913,1.2561,1.2561,1.2521,1.2521
19940914,1.2521,1.2575,1.2521,1.2575
19940915,1.2575,1.2575,1.2526,1.2526
19940916,1.2526,1.263,1.2526,1.263
19940920,1.251,1.2519,1.251,1.2519
19940921,1.2519,1.2567,1.2519,1.2567
19940922,1.2567,1.2567,1.2552,1.2552
19940923,1.2552,1.2575,1.2552,1.2575
19940927,1.251,1.2564,1.251,1.2564
19940928,1.2564,1.2564,1.2549,1.2549
19940929,1.2549,1.2575,1.2549,1.2575
19940930,1.2575,1.2575,1.2553,1.2553
19941004,1.2541,1.2571,1.2541,1.2571
19941005,1.2571,1.2612,1.2571,1.2612
19941006,1.2612,1.2612,1.2611,1.2611
19941007,1.2611,1.2611,1.2609,1.2609
